sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS123_65_L	SMS123	L	0.0758736	0.0138983	0.0351327	-0.11479	-0.139441	0.0160297	0.00350688	0.000278174	-0.0293495	-0.0472972	0.10456	0.062228	0.00641162	0.130259	0.0155159	-0.095836	0.171636	-0.149733	-0.0711453	-0.112484
sample_SMS123_66_S	SMS123	S	0.0762241	0.0142574	0.0297731	-0.110445	-0.109712	0.0203685	-0.00581294	0.00637735	-0.041796	0.0513113	0.155468	0.178411	0.150211	0.211218	-0.0390137	0.0614563	0.0159826	-0.093726	0.0655343	0.00470028
sample_SMS123_67_L	SMS123	L	0.0784767	0.0084875	0.0493786	-0.102127	-0.110616	0.013197	-0.0009254	-0.00759355	-0.0217685	0.0155091	-0.0214726	-0.0693191	-0.0959326	-0.037796	0.0379479	-0.107169	0.110197	-0.0395223	-0.0852102	-0.0191386
sample_SMS123_68_S	SMS123	S	0.0747883	0.0145398	0.0232783	-0.1309	-0.133466	0.0263059	-0.000309245	0.0094397	-0.0329169	-0.042034	-0.0236193	0.032626	0.0952401	0.093288	-0.0360033	0.0911497	-0.046267	-0.0631409	0.151278	-0.00617993
sample_SMS123_69_L	SMS123	L	0.0749324	0.0139571	0.0373904	-0.114414	-0.127815	0.0101816	0.0018952	-0.00562868	-0.0224167	-0.00564996	0.0674398	0.0165789	0.0115184	0.161303	0.0184145	-0.0970973	0.177118	-0.140467	-0.1429	-0.0774261
sample_SMS123_70_L	SMS123	L	0.0752332	0.00893131	0.03324	-0.111397	-0.112614	0.0122296	-0.00353801	-0.00564893	-0.0230332	0.00368426	-0.0492023	-0.0648925	-0.0384975	-0.0248959	0.0326545	-0.0447462	-0.0867362	0.124745	-0.0298226	0.0627298
sample_SMS123_71_S	SMS123	S	0.0746405	0.0145504	0.0334745	-0.144172	-0.137208	0.0225749	0.00554081	0.0107732	-0.0279502	0.0264121	0.0634382	0.12007	0.147861	0.223696	-0.0259854	0.038881	0.0561297	-0.138819	0.00502268	-0.0411387
sample_SMS123_72_S	SMS123	S	0.0785874	0.00615008	0.0358381	-0.098844	-0.123971	0.0222288	-0.00336065	0.0086625	-0.0282485	-0.0426611	0.0112864	0.0202194	0.0165575	-0.0206175	-0.0246966	0.0529017	-0.0496395	0.050862	0.0660149	0.0210166
sample_SMS127_73_S	SMS127	S	-0.0681277	0.0933209	0.0112974	0.00354127	0.0183711	0.0754847	0.124508	-0.0618794	0.00294476	-0.00865807	0.0358087	-0.0699347	0.143008	-0.0383265	-0.103318	0.0198771	0.11028	0.075945	0.0628655	-0.121151
sample_SMS127_74_L	SMS127	L	-0.0685718	0.0936883	0.0137003	-0.00166618	0.0112603	0.078829	0.112541	-0.0747574	0.00924308	0.00877099	0.146048	-0.172593	0.124006	-0.0282982	0.028518	0.0124794	0.0328723	0.0275861	0.0183776	-0.0439378
sample_SMS127_75_L	SMS127	L	-0.0700463	0.099225	0.0129371	0.00190486	0.0258441	0.0858993	0.141247	-0.0827014	0.000775172	-9.53E-05	0.0298257	-0.000785928	-0.140965	0.0643751	0.116184	0.0986537	-0.0954097	-0.0484971	0.0329025	-0.0594311
sample_SMS127_76_L	SMS127	L	-0.0691286	0.0956613	0.00779519	-0.00398281	0.0186609	0.0847568	0.124016	-0.0809687	-0.00372796	-0.00497899	-0.0783988	0.0984234	0.00898896	-0.0225416	-0.0423946	-0.130439	0.034651	-0.012518	-0.0652324	0.111232
sample_SMS127_77_L	SMS127	L	-0.0702907	0.094014	0.0108452	-0.000133202	0.021957	0.0904663	0.136425	-0.0803372	-0.00514863	0.00377695	-0.018533	0.0318711	-0.142949	0.062563	0.0472039	0.0189847	-0.147647	-0.0844434	0.00910765	0.0164043
sample_SMS127_78_L	SMS127	L	-0.0707944	0.0900083	0.0122195	3.9453e-06	0.0173096	0.0849782	0.127249	-0.0713386	-0.00452549	0.00624034	0.0532697	-0.0765674	0.127155	-0.0504613	-0.0894492	-0.092534	0.0414236	0.00563444	-0.00174643	-0.00510823
sample_SMS127_79_L	SMS127	L	-0.0707106	0.0962616	0.0139611	0.00217678	0.0155636	0.0765463	0.116244	-0.0680932	0.000187002	-0.00275308	0.078304	-0.053373	-0.126676	0.0755819	0.157229	0.163788	-0.0254971	0.0367141	0.0232251	-0.0674365
sample_SMS127_80_L	SMS127	L	-0.0690715	0.0909133	0.0138246	0.000367084	0.0233686	0.0778619	0.114164	-0.0557413	-0.00347706	-0.000492554	0.0762094	-0.0491061	-0.167748	0.0991049	0.0969523	0.128045	-0.0704302	-0.00609335	0.0299364	-0.056389
sample_SMS127_81_S	SMS127	S	-0.0674469	0.104025	0.0101333	-0.00458797	0.021534	0.0973893	0.150682	-0.0791011	-0.00639001	-0.0167937	-0.16456	0.184775	0.0235251	-0.0594218	-0.021839	-0.0969417	0.0467181	-0.0412906	-0.0496784	0.128186
sample_SMS127_82_S	SMS127	S	-0.0655351	0.0951487	0.00909608	-0.00214798	0.0260891	0.0892988	0.148109	-0.0809016	-0.00980922	-0.0230269	-0.134909	0.120942	-0.0164542	-0.0316842	-0.0406614	0.0104965	0.0500982	0.0309025	0.0176373	-0.0189349
sample_SMS127_83_L	SMS127	L	-0.069313	0.0931002	0.00993097	0.00141307	0.0154308	0.0779741	0.129108	-0.0856804	0.00279588	0.0175518	0.133732	-0.150989	0.16025	-0.0493611	0.0553073	-0.0378569	-0.00218145	-0.0132989	-0.00877295	-0.00213187
sample_SMS127_84_L	SMS127	L	-0.0683303	0.0905317	0.00996328	-0.00214775	0.0172299	0.0863362	0.117372	-0.0589885	-0.00753762	0.0194155	0.00203958	-0.0225234	0.00921423	-0.00884815	-0.0773577	-0.0643092	-0.0215943	-0.0144808	-0.0233453	0.0594945
sample_SMS127_85_S	SMS127	S	-0.068042	0.0927277	0.00970426	-0.00880229	0.0232116	0.103576	0.14711	-0.068026	-0.0123725	-0.0254467	-0.131064	0.165689	0.0514741	-0.0791126	0.0937261	-0.0209483	0.0817593	0.0262509	-0.07869	0.119099
sample_SMS127_86_L	SMS127	L	-0.0689268	0.0895746	0.0123151	0.000374598	0.0208479	0.0871269	0.124273	-0.062	-0.00618069	0.000534088	0.086582	-0.0742488	-0.0865314	0.0606755	0.0893699	0.141281	-0.0272994	0.043097	0.0428326	-0.0772671
sample_SMS127_87_L	SMS127	L	-0.0661933	0.0940915	0.0105326	-0.0010803	0.0213558	0.0817726	0.141568	-0.0914484	0.000641129	0.00229015	-0.0238222	0.0456118	0.00412266	-0.00316952	-0.0632592	-0.0755945	-0.0137483	-0.0230526	0.00135676	0.0020001
sample_SMS127_88_S	SMS127	S	-0.0662073	0.0892115	0.0137082	0.00187226	0.0166565	0.0829688	0.121132	-0.0501677	-0.00445264	0.00409284	0.0499111	-0.0962509	0.00155184	0.0195267	-0.010595	0.119935	0.00560208	0.0644331	0.0386319	-0.0862308
sample_SMS127_89_L	SMS127	L	-0.0685839	0.0981497	0.0123713	0.00226511	0.0205608	0.0780567	0.115315	-0.0678701	-0.00509268	0.00946272	0.0557925	-0.0467731	-0.13448	0.0839103	-0.0365924	0.0248198	-0.0880073	-0.0167128	0.0275567	-0.0489443
sample_SMS127_90_S	SMS127	S	-0.0664085	0.0998335	0.00521168	0.00113128	0.0217384	0.091164	0.144753	-0.0692824	-0.00742866	0.000556187	-0.131455	0.0874419	0.16936	-0.100823	-0.121866	-0.15033	0.0687693	-0.00313956	-0.0391789	0.0995236
sample_SMS128_100_L	SMS128	L	-0.0709527	0.0870613	-0.00424739	0.0165591	-0.0271808	-0.122501	-0.057762	-0.0366468	0.00557648	0.00363685	-0.100943	0.0907663	-0.0780226	0.0588375	-0.10609	-0.0626805	-0.0235873	-0.000617523	0.0146342	0.0315625
sample_SMS128_101_S	SMS128	S	-0.0665357	0.0883766	-0.000932115	0.0113727	-0.0332117	-0.141797	-0.0673958	-0.0185879	0.0121022	-0.0169683	0.00182656	-0.0203017	0.085847	-0.05334	0.00644217	0.0891953	0.120202	0.0461908	0.00723568	-0.0647088
sample_SMS128_102_L	SMS128	L	-0.0686617	0.0773175	0.00168549	0.0114196	-0.0360832	-0.121181	-0.0633832	-0.0274439	0.0104635	0.00171387	0.0185894	0.0218617	-0.0462732	0.0408327	0.0503943	0.0298005	0.0477463	0.0402941	-0.0401826	0.076378
sample_SMS128_103_L	SMS128	L	-0.0629206	-0.207895	-0.00383577	-0.0200524	-0.00445906	0.0231537	-0.0417941	-0.159898	0.0327696	-0.00478558	0.000387453	-0.0187529	-0.00738331	0.00241984	-0.0421793	0.0037354	-0.0216854	-0.0093318	0.0169437	-0.0327687
sample_SMS128_104_S	SMS128	S	-0.0692161	0.0907403	-0.00644255	0.0178413	-0.0289954	-0.145722	-0.0688988	-0.0284938	0.012458	-0.0316862	-0.150173	0.142764	-0.0367118	0.0147602	-0.00770647	0.0524395	0.0747195	0.0523173	0.0438224	-0.0670986
sample_SMS128_105_L	SMS128	L	-0.0660732	-0.198495	-0.0057174	-0.0221232	-0.00319313	0.0247921	-0.056669	-0.179215	0.0400081	-0.00171917	0.0082933	-0.00919901	0.000966592	0.00379216	-0.0330391	0.02505	0.00670169	0.00269236	0.0111757	-0.0100191
sample_SMS128_106_L	SMS128	L	-0.068712	-0.194931	-0.00370978	-0.0197174	-0.00843449	0.0178562	-0.0441558	-0.174147	0.0315425	-0.0061538	0.00312398	0.00341814	0.00914065	0.0084376	0.0218571	0.0302753	0.0498452	0.0177513	-0.0225435	0.0348999
sample_SMS128_107_L	SMS128	L	-0.0660383	-0.201433	-0.0072007	-0.0180519	-0.00333617	0.0241811	-0.0508011	-0.16831	0.0391988	-0.00506136	0.00477486	-0.0329447	0.00156642	-0.000865429	-0.0194705	0.00961495	-0.00906856	-0.00123396	0.0109981	-0.023396
sample_SMS128_108_L	SMS128	L	-0.0676422	0.0830239	-0.00255891	0.00903463	-0.0226374	-0.10181	-0.0528027	-0.0332931	0.0132128	0.0150778	0.0385452	-0.012591	-0.18564	0.0906549	-0.0507074	0.0204291	-0.0571565	-0.0222215	-0.0340656	0.0946567
sample_SMS128_109_L	SMS128	L	-0.0688691	0.0862597	0.00044144	0.0131982	-0.026086	-0.1283	-0.0628115	-0.033861	0.00697539	0.00805373	0.106697	-0.136407	0.0109492	-0.0283657	-0.0730633	0.00184827	-0.0350718	-0.0240008	-0.0259826	0.0346633
sample_SMS128_110_S	SMS128	S	-0.068306	0.0824952	-0.00552436	0.0139556	-0.0319936	-0.130215	-0.0676593	-0.0189981	0.00994556	-0.028154	-0.12615	0.143296	-0.0402197	-0.0116279	-0.016765	0.0404346	0.123074	0.0651956	-0.00499678	0.0217463
sample_SMS128_111_L	SMS128	L	-0.0698254	0.0778156	-0.00169534	0.0148179	-0.0290396	-0.10687	-0.048243	-0.0268182	0.0054906	0.0166873	0.0483885	-0.0580036	-0.0265075	0.0074719	-0.132436	-0.0908707	-0.101348	-0.0736766	-0.0159921	0.0736676
sample_SMS128_112_L	SMS128	L	-0.0711553	0.0937189	-0.00576941	0.0144194	-0.0283642	-0.135411	-0.0626259	-0.0333591	0.0101374	0.016774	-0.0390245	-0.00453731	-0.0277927	0.026969	-0.128297	-0.108472	-0.119851	-0.0882203	0.0160164	0.0295949
sample_SMS128_113_L	SMS128	L	-0.0685929	0.0756331	0.00154934	0.00551836	-0.0263262	-0.105461	-0.0498224	-0.0268233	0.00396405	0.0207687	0.180805	-0.184627	0.0320022	-0.0188505	0.0227082	0.033005	-0.0540807	-0.0407304	-0.0409373	0.06864
sample_SMS128_114_L	SMS128	L	-0.0711122	0.0809034	8.32237e-05	0.0112632	-0.0299337	-0.123019	-0.0656093	-0.0297764	0.00743919	0.00714468	0.113839	-0.129628	-0.015421	0.0240354	-0.103734	0.00560588	0.00117108	0.000442651	-0.0377622	0.0634541
sample_SMS128_166_L	SMS128	L	-0.0643712	-0.203785	-0.00586578	-0.0146111	-0.00626723	0.00121577	-0.0206443	-0.176793	0.0360302	-0.0085647	-0.00884094	0.0116769	0.00723618	-0.00171343	0.00242942	0.0125872	0.0323601	0.0240324	-0.00679811	0.0134115
sample_SMS128_167_L	SMS128	L	-0.0660099	-0.196225	-0.00519623	-0.012215	0.00170719	0.0183207	-0.0245517	-0.138432	0.0318139	-0.00702031	-0.0211618	-0.0186386	0.0203522	-0.00663283	-0.0160434	-0.0430541	-0.0543087	-0.0171387	0.00279769	0.00931597
sample_SMS128_168_S	SMS128	S	-0.0687053	0.0884267	-0.00712142	0.0222909	-0.0243563	-0.138428	-0.0503015	-0.0207469	0.00258711	0.0112254	-0.00539786	-0.0460801	0.183459	-0.0829007	-0.0889233	-0.00995748	0.0751591	0.0612126	0.0536377	-0.0890565
sample_SMS128_169_S	SMS128	S	-0.0671646	0.084434	-0.00454333	0.0187078	-0.0275203	-0.12762	-0.0600966	-0.00418265	0.00378032	-0.000629702	0.0371459	-0.0667698	0.170501	-0.100915	-0.0137288	0.0373296	0.134446	0.0906413	-0.036221	0.0639886
sample_SMS128_170_L	SMS128	L	-0.0705036	0.0831508	-0.002774	0.0177971	-0.0236891	-0.12178	-0.0455112	-0.0300168	0.0018492	0.012687	-0.0192915	0.00535721	-0.0902837	0.0649308	-0.123556	-0.0704106	-0.0599976	-0.0340123	-0.00913235	0.0224085
sample_SMS128_171_L	SMS128	L	-0.0680257	0.0807821	-0.00565926	0.0190111	-0.0308649	-0.153412	-0.0683657	-0.0374009	0.00914346	-0.0134376	-0.000357454	0.0518703	-0.0012673	0.00818605	0.195306	0.104413	0.0403879	0.0578322	0.0504626	-0.112167
sample_SMS128_172_L	SMS128	L	-0.0654247	-0.19629	-0.0069994	-0.0152768	-0.00337543	0.0122281	-0.0332041	-0.154079	0.0340108	-0.0083052	0.000129356	0.0013511	0.0161335	-0.00857205	-0.0106633	-0.00648419	-0.00154063	0.0059268	0.00952531	-0.00340051
sample_SMS128_91_L	SMS128	L	-0.068614	0.0868231	0.00167811	0.0113114	-0.0337171	-0.110839	-0.0542362	-0.0379694	0.00958407	0.0103267	0.0582629	-0.0334935	-0.0842832	0.0704769	-0.0161374	0.0449654	0.0145143	0.0119457	-0.0369202	0.0714846
sample_SMS128_92_L	SMS128	L	-0.0678164	0.0888542	0.000873143	0.0100711	-0.0355877	-0.125875	-0.064859	-0.0271591	0.010184	0.00865284	0.139733	-0.163049	0.101763	-0.048248	0.0467282	0.0589171	0.0344987	0.0206567	-0.0435688	0.0343091
sample_SMS128_93_L	SMS128	L	-0.0702848	0.0854357	-0.00212867	0.0100086	-0.0277006	-0.119675	-0.0480311	-0.0492497	0.00499977	-0.00994132	-0.0965371	0.115758	-0.119349	0.0312335	0.0248234	-0.0297748	-0.104311	-0.0682949	0.00170089	-0.0100278
sample_SMS128_94_L	SMS128	L	-0.0667193	-0.207496	-0.00741891	-0.0202114	-0.0189047	-0.00150663	-0.0298174	-0.206407	0.0402428	0.000856334	-0.00731431	0.0308457	0.00514152	0.00195789	0.031389	0.052506	0.0555071	0.0395965	-0.0400792	0.0548573
sample_SMS128_95_S	SMS128	S	-0.0669788	0.0857423	-0.00643989	0.0141014	-0.0346216	-0.150445	-0.0514636	-0.0320143	-0.00264463	-0.0276437	-0.0752259	0.0858266	0.0267496	-0.0148979	0.0503802	0.0805112	0.0687549	0.0393328	0.0570829	-0.135528
sample_SMS128_96_L	SMS128	L	-0.0660817	-0.202279	-0.00741688	-0.0234824	-0.0119708	0.0196824	-0.0482535	-0.207421	0.040517	-0.00888483	0.00904521	0.00827578	0.00780454	0.0119646	-0.00129659	0.0707347	0.0662241	0.0317278	-0.00176156	0.000852726
sample_SMS128_97_L	SMS128	L	-0.068843	0.0804459	-3.31E-05	0.0106327	-0.0355891	-0.129265	-0.0680602	-0.0408678	0.0166808	-0.0158384	-0.0106111	0.0752298	-0.121345	0.0477243	0.106326	0.0763775	0.023925	0.0304497	-0.0380458	0.0701956
sample_SMS128_98_L	SMS128	L	-0.0669381	-0.200286	-0.00494458	-0.0205333	-0.0102229	0.0123432	-0.0198694	-0.201099	0.0392052	-0.0111924	-0.00788732	0.0292191	0.010969	0.00696974	0.0362025	0.0403052	0.0539083	0.0245515	-0.0356624	0.0556544
sample_SMS128_99_L	SMS128	L	-0.0667327	-0.197714	-0.0027092	-0.0220467	-0.0112716	0.0243211	-0.0369209	-0.173706	0.037653	-0.00822558	0.00232496	-0.000680008	0.015813	-0.00239195	-0.011069	0.0119891	0.0132095	0.00513852	-0.00143568	0.00297645
sample_SMS129_115_L	SMS129	L	-0.0723837	-0.00602593	0.00676111	-0.00412961	0.0119129	0.0636469	-0.0785841	0.0193082	0.00461609	-0.00210956	-0.0407413	0.0396646	-0.0725463	0.0727379	-0.100729	-0.0118705	0.0534071	0.010414	0.0243325	-0.0576646
sample_SMS129_116_S	SMS129	S	-0.0679014	0.00618712	0.00777472	0.000591162	0.00879477	0.0737628	-0.0626518	0.127157	-0.0132073	0.00285032	-0.0104675	-0.0134639	0.107681	-0.0781524	0.0575991	-0.0433262	-0.0545281	-0.0321185	-0.0427366	0.0854734
sample_SMS129_117_L	SMS129	L	-0.0715752	-0.0134388	0.00723491	0.00110287	0.00885822	0.0556188	-0.0579726	0.0864632	-0.00688087	-0.00171706	-0.0595982	0.0754158	-0.0995595	0.0368774	-0.0475229	-0.0494923	-0.00936739	-0.0284391	0.00348376	-0.0132757
sample_SMS129_118_L	SMS129	L	-0.0723681	-0.0128236	0.0102444	-0.00668918	0.0102988	0.0648276	-0.0623601	0.0596773	-0.00283239	0.00529591	0.00613048	0.0464386	-0.097884	0.0388655	0.123022	0.045507	0.00137299	0.0179576	-0.0277854	0.0408186
sample_SMS129_119_S	SMS129	S	-0.0705804	0.00982056	0.00873533	0.000640282	0.0165593	0.0637143	-0.0644953	0.0984358	-0.010675	-0.0326379	-0.0868479	0.118907	0.00653159	-0.00756839	0.0839163	0.0383708	0.0862044	0.0434947	-0.00790144	-0.0275308
sample_SMS129_120_S	SMS129	S	-0.0718985	-0.0141628	0.0037081	0.00480344	0.011722	0.0499141	-0.0580604	0.0690435	-0.00867349	-0.00682908	-0.0347956	-0.0233334	0.0924942	-0.0362001	-0.187186	-0.0745399	0.0422943	0.0191395	0.0256541	-0.0272287
sample_SMS129_121_L	SMS129	L	-0.0729758	0.00214868	0.0134679	0.00113547	0.0128285	0.0657925	-0.0765715	0.0676004	0.000746509	0.00392342	0.116082	-0.0749832	0.0372638	0.00123905	0.131208	0.0759426	0.0761404	0.0659385	-0.0158733	-0.0252876
sample_SMS129_122_S	SMS129	S	-0.0695199	0.00154905	0.00916835	-0.00574363	0.0114184	0.068232	-0.0758666	0.0844753	-0.00596905	-0.00959631	-0.0597214	0.0809092	-0.00780214	-0.00602714	0.00267271	0.0648286	0.140498	0.0939523	0.00762045	-0.037815
sample_SMS129_123_S	SMS129	S	-0.0705575	0.00125315	0.00969903	0.00201024	0.0149426	0.0562514	-0.0694495	0.0942522	-0.00473457	-0.0224589	0.0557656	-0.0835521	0.146911	-0.0577749	0.0526411	0.0388155	0.105846	0.0477259	-0.00840093	-0.024359
sample_SMS129_124_S	SMS129	S	-0.0690169	-0.0104638	0.00292299	9.95851e-05	0.0144953	0.0721347	-0.0634938	0.0621008	-0.00383308	0.00591495	-0.128731	0.102509	-0.0651266	0.0253887	-0.150905	-0.0545617	-0.0613287	-0.0340615	0.0406694	-0.0142116
sample_SMS129_125_S	SMS129	S	-0.0670866	0.00740158	0.00508104	-0.00216619	0.0164102	0.0733503	-0.0674505	0.112512	-0.0116244	-0.0151507	-0.0299606	0.0246505	0.019096	-0.0171483	0.17708	0.0633312	-0.048469	-0.0287832	-0.0204766	0.0134247
sample_SMS129_126_L	SMS129	L	-0.0710366	-0.00949723	0.00973415	0.00269443	0.00837369	0.0651135	-0.0659765	0.0852366	-0.00439773	0.0176595	0.034293	-0.037111	0.0366519	0.0040129	-0.108465	-0.0964917	-0.0248306	-0.0309116	0.0201162	-0.0460359
sample_SMS129_127_L	SMS129	L	-0.0685259	-0.00250193	0.00876323	0.00488362	0.0150523	0.0702369	-0.0640493	0.118714	-0.00920992	0.0165762	0.0529316	-0.0421823	0.0534264	-0.0324885	0.0951016	-0.0738888	-0.10346	-0.062224	-0.0300001	0.0573447
sample_SMS129_128_L	SMS129	L	-0.0720156	-0.00262929	0.00690708	-0.00768027	0.00963786	0.0669223	-0.0756371	0.0526141	0.00018343	-0.0095313	-0.0174688	0.0339775	-0.0381151	0.0231258	0.130169	0.0228843	0.00747827	0.00814808	-0.0569151	0.0723495
sample_SMS129_129_L	SMS129	L	-0.0704969	-0.0245676	0.00964702	-0.00607128	0.00427228	0.05927	-0.0632248	0.058054	-0.00052317	0.0168575	0.0533502	-0.0452601	-0.0560024	0.0214758	-0.00537621	-0.0104938	-0.0624175	-0.0307107	0.000837037	0.0228235
sample_SMS129_130_S	SMS129	S	-0.0703277	-0.013445	0.00437854	-0.00494852	0.0146498	0.0626594	-0.0712962	0.0718903	0.000573346	-0.000639589	0.0177625	-0.0758971	0.0402608	-0.0301711	-0.068786	0.00045706	-0.0229333	-0.0561351	0.0345917	-0.0291951
sample_SMS129_131_S	SMS129	S	-0.0698613	-0.00755758	0.00261318	-0.00173339	0.0136163	0.0695157	-0.0563592	0.0927989	-0.0093312	-0.0121582	-0.0610605	0.0524083	0.000932012	-0.00664414	0.0750312	0.00928183	-0.0346557	-0.0287878	-0.0131913	0.0232141
sample_SMS129_132_S	SMS129	S	-0.0687687	0.0020176	0.00631891	-0.00634557	0.018273	0.0807576	-0.0839781	0.10493	-0.00312006	0.00773026	-0.00427172	-0.0113698	0.0817543	-0.0505656	-0.0699168	-0.0411797	0.0085334	-0.0180549	0.00868898	-0.0143979
sample_SMS129_133_L	SMS129	L	-0.0711445	-0.0098749	0.00901286	-0.00163489	0.0151471	0.061121	-0.0605161	0.0423291	0.00378925	0.0154691	-0.00351479	0.0139956	-0.129412	0.0694993	-0.0786383	-0.014295	-0.0594192	-0.00254763	0.0523589	-0.0683663
sample_SMS129_134_L	SMS129	L	-0.0732085	-0.0145034	0.00885121	-0.0037141	0.0109579	0.0535959	-0.0605564	0.0225553	0.00787511	0.00598993	-0.00458408	0.0208989	-0.119014	0.0780787	-0.0169759	0.0309338	0.0287133	0.0316811	0.017984	-0.0502885
sample_SMS129_135_L	SMS129	L	-0.0732449	0.00267041	0.0075233	-0.000919874	0.0167701	0.068641	-0.0600386	0.070531	0.000352343	0.00422114	0.0312066	-0.0251837	0.0145335	-0.0138282	0.0636301	-0.0520714	-0.0825746	-0.0585217	-0.0341513	0.0708023
sample_SMS129_136_S	SMS129	S	-0.0680562	0.000405853	0.00839199	-0.00452252	0.00810952	0.0690493	-0.0747176	0.093562	-0.00665335	0.00346918	-0.00700471	-0.000289398	0.0820047	-0.0593138	-0.0584473	-0.0153396	0.0795567	0.051315	0.0212282	-0.0230895
sample_SMS129_137_S	SMS129	S	-0.070585	-0.0291136	0.00802048	-0.0053385	0.00772385	0.0561944	-0.0661241	0.04105	0.00723049	0.000502132	0.028028	-0.0757143	0.0517745	-0.0313712	-0.0734657	0.0373928	0.0069864	0.0191822	0.0249082	-0.00821972
sample_SMS129_138_L	SMS129	L	-0.0725472	-0.00380136	0.00680722	-0.00141167	0.0126677	0.0723613	-0.0755651	0.0434865	0.00744459	0.00706218	-0.0558135	0.0529039	-0.110124	0.0486472	-0.0897758	-0.0377992	-0.0417699	-0.0194652	0.0100314	-0.00105811
sample_SMS129_139_L	SMS129	L	-0.0734522	-0.0121003	0.00622853	-0.000164336	0.0130556	0.0674944	-0.0773757	0.0318959	0.00570624	0.0140421	0.00264229	-0.0580337	-0.0228367	0.00181248	-0.176935	-0.0857768	-0.115039	-0.0582807	0.0356149	-0.00248942
sample_SMS129_140_S	SMS129	S	-0.0688554	0.00598161	0.00463468	0.00193507	0.0160459	0.0712202	-0.0878529	0.0759113	-0.00232815	0.00165571	-0.0498843	0.00657781	0.107618	-0.0465011	-0.157403	-0.0661355	0.037829	0.0184205	0.0293324	-0.0436079
sample_SMS129_141_L	SMS129	L	-0.0724068	-0.0170646	0.00841915	0.00115869	0.0112439	0.0583326	-0.0599419	0.0572235	-0.00413691	0.00795244	-0.0205299	0.0336407	-0.108973	0.0669883	-0.10293	-0.0435448	-0.01998	-0.0138321	0.0347906	-0.0528979
sample_SMS129_142_L	SMS129	L	-0.0713789	-0.00433752	0.00720558	-0.00660203	0.0128702	0.0694287	-0.0838084	0.0601533	0.00434425	0.024238	0.12454	-0.140118	0.00708955	-0.00702411	0.0301594	0.0266977	-0.0488337	-0.0441487	0.00444498	-0.00211313
sample_SMS129_143_L	SMS129	L	-0.0718252	0.017384	0.00957608	0.000827432	0.0147417	0.0736589	-0.0828263	0.0795448	-0.00283438	-0.0209406	0.0256511	0.014428	-0.00771071	0.0132968	0.182356	0.0477845	0.0217672	0.0224404	-0.0382222	0.0147033
sample_SMS129_144_L	SMS129	L	-0.0701742	-0.0132394	0.0092521	0.00223894	0.0118117	0.0671911	-0.060634	0.0972795	-0.0101975	-0.00132964	0.022247	-0.0249103	0.0965648	-0.0464226	0.111954	-0.0408185	0.000798045	0.00388963	-0.0432037	0.0626247
sample_SMS129_145_L	SMS129	L	-0.0722746	-0.0145816	0.00263916	0.00200408	0.0131519	0.0514506	-0.0687968	0.0356114	0.00426975	0.0280596	0.0624086	-0.107287	-0.0417898	0.0319543	-0.188152	-0.0506158	-0.101276	-0.062673	0.0687934	-0.0646334
sample_SMS129_146_S	SMS129	S	-0.0670359	0.0237671	0.00834704	0.00274271	0.0182686	0.07677	-0.0789272	0.144252	-0.0186598	-0.0194701	-0.034267	0.074328	0.0866478	-0.0232895	0.202402	0.0491482	0.0794174	0.0505467	-0.0375144	-0.00792686
sample_SMS129_147_L	SMS129	L	-0.0721226	-0.01796	0.0100856	-0.00545484	0.0105163	0.0698108	-0.0664447	0.0567179	-0.00253977	0.0080104	0.0215186	0.0396703	-0.112624	0.0475576	0.0432612	0.0390204	0.0140131	-0.00644893	-0.00346163	-0.00336915
sample_SMS129_148_S	SMS129	S	-0.0682124	0.00312616	0.00822621	-0.000486386	0.0195213	0.0742051	-0.0594773	0.120104	-0.011467	-0.013851	-0.104504	0.140623	-0.023166	-0.0142862	0.0990876	-0.00956934	0.0281974	-0.0100746	-0.0201029	0.0149705
sample_SMS130_149_L	SMS130	L	-0.0572521	-0.143202	-0.0258793	-0.00138685	-0.0167144	-0.115285	0.175825	0.106144	-0.0390769	0.00367185	0.0130724	-0.0041288	-0.0433971	0.0160923	0.0126284	0.00726931	0.00452659	-0.0072366	0.00673231	0.00990264
sample_SMS130_150_L	SMS130	L	-0.0570044	-0.132258	-0.0232858	-0.00192772	-0.00997224	-0.0978068	0.149661	0.101823	-0.0375446	0.00179094	0.014757	-9.32E-06	-0.0250882	0.0131525	0.0530909	-0.0205434	-0.00992311	-0.00129793	-0.0140731	0.0324869
sample_SMS130_151_S	SMS130	S	-0.0556432	-0.109668	-0.0281434	-0.00216051	-0.0232216	-0.141297	0.225842	0.200467	-0.0777547	0.00880851	0.0029346	0.00102858	-0.0047684	0.0139115	-0.0686072	0.0105867	0.0322281	0.0229457	0.014728	-0.0287455
sample_SMS130_152_L	SMS130	L	-0.0586104	-0.143319	-0.0176629	-0.00244507	-0.00905698	-0.0757513	0.105626	0.048699	-0.0324224	0.00350631	0.0174273	-0.0313374	-0.0346956	0.0018467	0.0613407	-0.0354411	-0.107283	-0.0740912	0.00652293	-0.0274292
