CHR	CHR	CHR	CHR	CHR	CHR
POS	POS	POS	POS	POS	POS
family_3	sample_SMS106_108_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_109_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_110_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_111_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_112_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_113_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_114_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_115_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_116_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_117_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_118_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_119_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_122_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_3	sample_SMS106_123_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_4L_204_L_replicate1	0	0
family_4	sample_SMS7_1S_201_S_replicate1	0	0	1	0
family_4	sample_SMS7_5L_205_L_replicate1	0	0	2	0
family_4	sample_SMS107_124_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_127_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_128_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_129_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_130_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_131_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_132_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_133_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_134_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_135_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_136_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_137_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_138_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_139_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_140_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_141_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_142_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_143_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_144_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_145_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_147_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_4	sample_SMS107_150_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_5L_205_L_replicate1	0	0
family_5	sample_SMS10_2S_206_S_replicate2	0	0	1	0
family_5	sample_SMS10_3L_207_L_replicate1	0	0	2	0
family_5	sample_SMS108_13_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_14_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_15_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_16_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_17_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_18_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_19_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_20_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_21_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_22_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_23_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_24_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_25_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_26_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_27_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_28_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_29_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_30_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_31_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_32_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_33_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_34_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_35_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_36_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_37_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_38_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_39_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_40_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_41_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_42_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_43_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_45_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_48_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_49_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_5	sample_SMS108_51_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_3L_207_L_replicate1	0	0
family_6	sample_SMS10_2S_206_S_replicate2	0	0	1	0
family_6	sample_SMS10_6L_208_L_replicate1	0	0	2	0
